"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",1001000,"Flensburg, Stadt",84694,0.800819,5,10,3
"2",1002000,"Kiel, Landeshauptstadt",243148,0.681862,3,6,2
"3",1003000,"Lübeck, Hansestadt",214420,0.82283,5,10,3
"4",1004000,"Neumünster, Stadt",77588,0.849573,5,10,3
"5",1051011,"Brunsbüttel, Stadt",12642,0.800617,5,10,3
"6",1051044,"Heide, Stadt",21303,0.867251,5,10,3
"7",1051963,"Burg-St. Michaelisdonn",15915,0.812757,5,10,3
"8",1051966,"Marne-Nordsee",12937,0.81281,5,10,3
"9",1051969,"Eider",18704,0.829653,5,10,3
"10",1051972,"Heider Umland",15755,0.787222,5,9,3
"11",1051975,"Mitteldithmarschen",23057,0.818612,5,10,3
"12",1051978,"Büsum-Wesselburen",12372,0.848854,5,10,3
"13",1053032,"Geesthacht, Stadt",29676,0.64613,3,5,2
"14",1053083,"Lauenburg/ Elbe, Stadt",11277,0.724952,4,7,2
"15",1053090,"Mölln, Stadt",18622,0.682495,3,6,2
"16",1053100,"Ratzeburg, Stadt",14104,0.685871,3,6,2
"17",1053116,"Schwarzenbek, Stadt",15523,0.646277,3,5,2
"18",1053129,"Wentorf bei Hamburg",12221,0.566137,2,3,2
"19",1053908,"Berkenthin",8432,0.60031,2,3,2
"20",1053913,"Breitenfelde",6356,0.622944,2,4,2
"21",1053918,"Büchen",13632,0.630198,2,4,2
"22",1053923,"Hohe Elbgeest",19522,0.577858,2,3,2
"23",1053943,"Lütau",3926,0.634849,3,5,2
"24",1053958,"Lauenburgische Seen",13126,0.622641,2,4,2
"25",1053973,"Schwarzenbek-Land",9112,0.591422,2,3,2
"26",1053991,"Sandesneben-Nusse",15174,0.614452,2,4,2
"27",1054033,"Friedrichstadt, Stadt",2491,0.806035,5,10,3
"28",1054056,"Husum, Stadt",22215,0.77723,5,9,3
"29",1054108,"Reußenköge",325,0.672758,3,6,2
"30",1054138,"Tönning, Stadt",4852,0.768779,5,9,3
"31",1054168,"Sylt",13409,0.599428,2,3,2
"32",1054917,"Eiderstedt",11237,0.737191,4,7,2
"33",1054939,"Landschaft Sylt",4304,0.628369,2,4,2
"34",1054953,"Viöl",9082,0.729268,4,7,2
"35",1054959,"Pellworm",1408,0.741368,4,8,2
"36",1054988,"Föhr-Amrum",10535,0.679243,3,6,2
"37",1054989,"Südtondern",39185,0.739629,4,7,2
"38",1054992,"Nordsee-Treene",22917,0.737366,4,7,2
"39",1054994,"Mittleres Nordfriesland",20243,0.738174,4,7,2
