"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"113",1059075,"Schleswig, Stadt",24035,0.867053,5,10,3
"114",1059113,"Glücksburg (Ostsee), Stadt",5820,0.816725,5,9,3
"115",1059120,"Harrislee",11190,0.816713,5,9,3
"116",1059183,"Handewitt",10982,0.782078,4,8,2
"117",1059912,"Eggebek",8512,0.818863,5,9,3
"118",1059915,"Haddeby",8780,0.782056,4,8,2
"119",1059919,"Hürup",8579,0.775396,4,7,2
"120",1059920,"Kappeln-Land",1400,0.827665,5,10,3
"121",1059937,"Langballig",8004,0.794268,4,8,2
"122",1059940,"Oeversee",10147,0.815298,5,9,3
"123",1059949,"Amt Mittelangeln",9808,0.813743,5,9,3
"124",1059952,"Schafflund",12342,0.812717,5,9,3
"125",1059974,"Süderbrarup",11144,0.838951,5,10,3
"126",1059987,"Südangeln",13240,0.797872,4,8,2
"127",1059990,"Geltinger Bucht",12424,0.832602,5,10,3
"128",1059993,"Arensharde",13970,0.800207,4,8,2
"129",1059996,"Kropp-Stapelholm",16529,0.828905,5,10,3
"130",1060004,"Bad Bramstedt, Stadt",13759,0.654306,2,4,2
"131",1060005,"Bad Segeberg, Stadt",16971,0.615522,2,3,2
"132",1060019,"Ellerau",6051,0.588222,1,2,1
"133",1060039,"Henstedt-Ulzburg",27517,0.572472,1,2,1
"134",1060044,"Kaltenkirchen, Stadt",20145,0.633315,2,3,2
"135",1060063,"Norderstedt, Stadt",76030,0.567454,1,2,1
"136",1060092,"Wahlstedt, Stadt",9284,0.650328,2,4,2
"137",1060905,"Bad Bramstedt-Land",10818,0.634322,2,3,2
"138",1060924,"Bornhöved",10735,0.660774,2,4,2
"139",1060934,"Itzstedt",18812,0.546649,1,2,1
"140",1060943,"Kaltenkirchen-Land",10650,0.616848,2,3,2
"141",1060948,"Kisdorf",10702,0.593582,2,3,2
"142",1060953,"Leezen",8577,0.619755,2,3,2
"143",1060963,"Boostedt-Rickling",11644,0.64529,2,4,2
"144",1060986,"Trave-Land",19718,0.635635,2,3,2
"145",1061029,"Glückstadt, Stadt",11150,0.757601,4,7,2
"146",1061046,"Itzehoe, Stadt",31094,0.767511,4,7,2
"147",1061113,"Wilster, Stadt",4393,0.756906,4,7,2
"148",1061904,"Breitenburg",8328,0.735641,3,6,2
"149",1061934,"Horst-Herzhorn",15722,0.709518,3,6,2
"150",1061938,"Itzehoe-Land",10413,0.713122,3,6,2
"151",1061953,"Krempermarsch",9356,0.719716,3,6,2
"152",1061968,"Schenefeld",10507,0.726798,3,6,2
"153",1061979,"Wilstermarsch",6769,0.728526,3,6,2
"154",1061989,"Kellinghusen",22486,0.747322,4,7,2
"155",1062001,"Ahrensburg, Stadt",31602,0.487958,1,1,1
"156",1062004,"Bad Oldesloe, Stadt",24699,0.534482,1,2,1
"157",1062006,"Bargteheide, Stadt",15863,0.497668,1,1,1
"158",1062009,"Barsbüttel",12278,0.458063,1,1,1
"159",1062018,"Glinde, Stadt",17991,0.487926,1,1,1
"160",1062023,"Großhansdorf",9318,0.463299,1,1,1
"161",1062053,"Oststeinbek",8791,0.459217,1,1,1
"162",1062060,"Reinbek, Stadt",26710,0.463526,1,1,1
"163",1062061,"Reinfeld (Holstein), Stadt",8878,0.502824,1,1,1
"164",1062090,"Ammersbek",9669,0.455737,1,1,1
"165",1062907,"Bad Oldesloe-Land",11101,0.496127,1,1,1
"166",1062918,"Bargteheide-Land",14249,0.503753,1,1,1
"167",1062944,"Nordstormarn",10599,0.50976,1,1,1
"168",1062962,"Siek",10178,0.460905,1,1,1
"169",1062970,"Trittau",18338,0.485951,1,1,1
