"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",801,"Bodensee-Oberschwaben",612441,0.408401,3,6,2
"2",802,"Donau-Iller (BW)",500281,0.334405,2,3,2
"3",803,"Franken",877180,0.42289,4,7,2
"4",804,"Hochrhein-Bodensee",664688,0.580324,5,10,3
"5",805,"Mittlerer Oberrhein",1009395,0.323931,1,2,1
"6",806,"Neckar-Alb",682746,0.369325,2,4,2
"7",807,"Nordschwarzwald",580932,0.480201,4,8,2
"8",808,"Ostwürttemberg",437099,0.386592,3,5,2
"9",809,"Schwarzwald-Baar-Heuberg",476635,0.493605,5,9,3
"10",810,"Stuttgart",2694009,0.210446,1,1,1
"11",811,"Südlicher Oberrhein",1050299,0.470319,4,8,2
"12",812,"Unterer Neckar",1130939,0.360676,2,3,2
