"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",14511,"Chemnitz, Stadt",243521,0.738277,1,2,1
"2",14521,"Erzgebirgskreis",349582,0.76903,4,8,2
"3",14522,"Mittelsachsen",312711,0.744045,2,4,2
"4",14523,"Vogtlandkreis",232390,0.750719,3,5,2
"5",14524,"Zwickau",325137,0.751234,3,6,2
"6",14612,"Dresden, Stadt",536308,0.544817,1,1,1
"7",14625,"Bautzen",306570,0.762303,4,7,2
"8",14626,"Görlitz",260188,0.863823,5,9,3
"9",14627,"Meißen",243745,0.715897,1,2,1
"10",14628,"Sächsische Schweiz-Osterzgebirge",245954,0.740591,2,3,2
"11",14713,"Leipzig, Stadt",544479,0.769423,5,9,3
"12",14729,"Leipzig",257647,0.753216,3,6,2
"13",14730,"Nordsachsen",197042,0.867647,5,10,3
