"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",16051,"Erfurt, Stadt",206219,0.744379,2,3,2
"2",16052,"Gera, Stadt",94492,0.876625,5,9,3
"3",16053,"Jena, Stadt",108207,0.384337,1,1,1
"4",16054,"Suhl, Stadt",36208,0.761448,3,5,2
"5",16055,"Weimar, Stadt",63477,0.711684,1,2,1
"6",16056,"Eisenach, Stadt",41884,0.830355,4,8,2
"7",16061,"Eichsfeld",100730,0.740128,2,3,2
"8",16062,"Nordhausen",85055,0.897172,5,9,3
"9",16063,"Wartburgkreis",125835,0.713917,1,2,1
"10",16064,"Unstrut-Hainich-Kreis",103922,0.901383,5,10,3
"11",16065,"Kyffhäuserkreis",77148,0.922874,5,10,3
"12",16066,"Schmalkalden-Meiningen",125056,0.783426,3,6,2
"13",16067,"Gotha",135381,0.777905,3,6,2
"14",16068,"Sömmerda",70537,0.850355,4,8,2
"15",16069,"Hildburghausen",64673,0.754812,2,4,2
"16",16070,"Ilm-Kreis",108899,0.746671,2,4,2
"17",16071,"Weimarer Land",81641,0.783709,4,7,2
"18",16072,"Sonneberg",56809,0.735168,1,2,1
"19",16073,"Saalfeld-Rudolstadt",109646,0.780971,3,6,2
"20",16074,"Saale-Holzland-Kreis",83966,0.704925,1,1,1
"21",16075,"Saale-Orla-Kreis",82887,0.789162,4,7,2
"22",16076,"Greiz",101382,0.775949,3,5,2
"23",16077,"Altenburger Land",92705,0.856087,5,9,3
