"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",5111,"Düsseldorf, Stadt",604527,0.305059,1,1,1
"2",5112,"Duisburg, Stadt",485465,0.764895,5,10,3
"3",5113,"Essen, Stadt",573784,0.506481,2,4,2
"4",5114,"Krefeld, Stadt",222500,0.591924,4,7,2
"5",5116,"Mönchengladbach, Stadt",256853,0.654901,5,9,3
"6",5117,"Mülheim an der Ruhr, Stadt",167108,0.370036,1,2,1
"7",5119,"Oberhausen, Stadt",209292,0.721142,5,10,3
"8",5120,"Remscheid, Stadt",109009,0.526235,3,5,2
"9",5122,"Solingen, Klingenstadt",156771,0.56929,3,6,2
"10",5124,"Wuppertal, Stadt",345425,0.655802,5,9,3
"11",5154,"Kleve",304963,0.612852,4,8,2
"12",5158,"Mettmann",477760,0.353277,1,1,1
"13",5162,"Rhein-Kreis Neuss",442522,0.379042,1,2,1
"14",5166,"Viersen",295067,0.5341,3,5,2
"15",5170,"Wesel",457244,0.54701,3,6,2
"16",5314,"Bonn, Stadt",313958,0.232177,1,1,1
"17",5315,"Köln, Stadt",1046680,0.39439,1,2,1
"18",5316,"Leverkusen, Stadt",161540,0.377127,1,2,1
"19",5334,"Städteregion Aachen",547661,0.482987,2,3,2
"20",5358,"Düren",259073,0.584551,4,7,2
"21",5362,"Rhein-Erft-Kreis",459448,0.460948,2,3,2
"22",5366,"Euskirchen",188158,0.569457,4,7,2
"23",5370,"Heinsberg",249310,0.690377,5,9,3
"24",5374,"Oberbergischer Kreis",270618,0.537665,3,5,2
"25",5378,"Rheinisch-Bergischer Kreis",279497,0.318137,1,1,1
"26",5382,"Rhein-Sieg-Kreis",585781,0.448555,2,3,2
"27",5512,"Bottrop, Stadt",116017,0.643712,5,9,3
"28",5513,"Gelsenkirchen, Stadt",257651,0.808007,5,10,3
"29",5515,"Münster, Stadt",302178,0.286222,1,1,1
"30",5554,"Borken",365191,0.583279,4,7,2
"31",5558,"Coesfeld",215996,0.476677,2,3,2
"32",5562,"Recklinghausen",613092,0.637668,5,9,3
"33",5566,"Steinfurt",437127,0.548854,3,6,2
"34",5570,"Warendorf",273412,0.525421,3,5,2
"35",5711,"Bielefeld, Stadt",329782,0.50341,2,4,2
"36",5754,"Gütersloh",354463,0.44678,1,2,1
"37",5758,"Herford",249219,0.499005,2,4,2
"38",5762,"Höxter",142770,0.592532,4,8,2
"39",5766,"Lippe",345127,0.559767,3,6,2
"40",5770,"Minden-Lübbecke",309216,0.554548,3,6,2
"41",5774,"Paderborn",299071,0.521362,2,4,2
"42",5911,"Bochum, Stadt",361876,0.51513,2,4,2
"43",5913,"Dortmund, Stadt",580511,0.627285,4,8,2
"44",5914,"Hagen, Stadt der FernUniversität",186716,0.62879,5,9,3
"45",5915,"Hamm, Stadt",176580,0.719613,5,10,3
"46",5916,"Herne, Stadt",154608,0.756626,5,10,3
"47",5954,"Ennepe-Ruhr-Kreis",322916,0.444979,1,2,1
"48",5958,"Hochsauerlandkreis",261561,0.583817,4,7,2
"49",5962,"Märkischer Kreis",413820,0.596798,4,8,2
"50",5966,"Olpe",134759,0.530939,3,5,2
"51",5970,"Siegen-Wittgenstein",275909,0.477183,2,3,2
"52",5974,"Soest",296742,0.555687,3,6,2
"53",5978,"Unna",391774,0.606019,4,8,2
