"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",5111,"Düsseldorf, Stadt",604527,0.358458,1,1,1
"2",5112,"Duisburg, Stadt",485465,0.836878,5,10,3
"3",5113,"Essen, Stadt",573784,0.598414,3,5,2
"4",5114,"Krefeld, Stadt",222500,0.672111,4,8,2
"5",5116,"Mönchengladbach, Stadt",256853,0.761424,5,9,3
"6",5117,"Mülheim an der Ruhr, Stadt",167108,0.447231,1,2,1
"7",5119,"Oberhausen, Stadt",209292,0.819021,5,10,3
"8",5120,"Remscheid, Stadt",109009,0.63875,4,7,2
"9",5122,"Solingen, Klingenstadt",156771,0.648118,4,7,2
"10",5124,"Wuppertal, Stadt",345425,0.747237,5,9,3
"11",5154,"Kleve",304963,0.720724,5,9,3
"12",5158,"Mettmann",477760,0.404913,1,1,1
"13",5162,"Rhein-Kreis Neuss",442522,0.414738,1,2,1
"14",5166,"Viersen",295067,0.577011,2,4,2
"15",5170,"Wesel",457244,0.619662,3,6,2
"16",5314,"Bonn, Stadt",313958,0.307373,1,1,1
"17",5315,"Köln, Stadt",1046680,0.475896,1,2,1
"18",5316,"Leverkusen, Stadt",161540,0.483014,1,2,1
"19",5334,"Städteregion Aachen",547661,0.580549,3,5,2
"20",5358,"Düren",259073,0.658146,4,8,2
"21",5362,"Rhein-Erft-Kreis",459448,0.545462,2,3,2
"22",5366,"Euskirchen",188158,0.629394,3,6,2
"23",5370,"Heinsberg",249310,0.765787,5,9,3
"24",5374,"Oberbergischer Kreis",270618,0.584039,3,5,2
"25",5378,"Rheinisch-Bergischer Kreis",279497,0.389339,1,1,1
"26",5382,"Rhein-Sieg-Kreis",585781,0.516571,2,3,2
"27",5512,"Bottrop, Stadt",116017,0.683909,4,8,2
"28",5513,"Gelsenkirchen, Stadt",257651,0.92334,5,10,3
"29",5515,"Münster, Stadt",302178,0.328756,1,1,1
"30",5554,"Borken",365191,0.656306,4,7,2
"31",5558,"Coesfeld",215996,0.550965,2,3,2
"32",5562,"Recklinghausen",613092,0.703687,4,8,2
"33",5566,"Steinfurt",437127,0.599432,3,6,2
"34",5570,"Warendorf",273412,0.567426,2,4,2
"35",5711,"Bielefeld, Stadt",329782,0.577313,2,4,2
"36",5754,"Gütersloh",354463,0.479348,1,2,1
"37",5758,"Herford",249219,0.578451,2,4,2
"38",5762,"Höxter",142770,0.651433,4,7,2
"39",5766,"Lippe",345127,0.598959,3,5,2
"40",5770,"Minden-Lübbecke",309216,0.595211,3,5,2
"41",5774,"Paderborn",299071,0.577309,2,4,2
"42",5911,"Bochum, Stadt",361876,0.600923,3,6,2
"43",5913,"Dortmund, Stadt",580511,0.711771,5,9,3
"44",5914,"Hagen, Stadt der FernUniversität",186716,0.722004,5,9,3
"45",5915,"Hamm, Stadt",176580,0.823262,5,10,3
"46",5916,"Herne, Stadt",154608,0.827541,5,10,3
"47",5954,"Ennepe-Ruhr-Kreis",322916,0.502824,2,3,2
"48",5958,"Hochsauerlandkreis",261561,0.636938,4,7,2
"49",5962,"Märkischer Kreis",413820,0.631066,3,6,2
"50",5966,"Olpe",134759,0.544155,2,3,2
"51",5970,"Siegen-Wittgenstein",275909,0.500091,1,2,1
"52",5974,"Soest",296742,0.608741,3,6,2
"53",5978,"Unna",391774,0.703753,4,8,2
